epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
117,769.679,0.39359,0.32173,0.22977,0.00342,0.19778,0.98267,0.96299,0.982,0.96169,0.98267,0.96299,0.982,0.85848,0.28138,0.20818,0.15215,0.00415,0,0.000474627,0.000474627,0.000474627
118,776.077,0.44246,0.27257,0.25486,0.00411,0.19193,0.98035,0.97896,0.98696,0.9529,0.98035,0.97896,0.98696,0.86235,0.31764,0.21896,0.13055,0.00439,0,0.000472089,0.000472089,0.000472089
119,782.536,0.39856,0.27075,0.2163,0.00349,0.14326,0.97272,0.98572,0.98731,0.96813,0.97272,0.98572,0.98731,0.87054,0.26586,0.22308,0.12721,0.00402,0,0.000469551,0.000469551,0.000469551
120,788.989,0.40092,0.28564,0.26794,0.00361,0.28463,0.9688,0.9849,0.98617,0.96913,0.9688,0.9849,0.98617,0.86855,0.24468,0.22375,0.11857,0.00373,0,0.000467014,0.000467014,0.000467014
121,795.486,0.4142,0.27092,0.2367,0.00358,0.19835,0.96352,0.98528,0.98565,0.96158,0.96352,0.98528,0.98565,0.88873,0.29192,0.21526,0.13352,0.00421,0,0.000464476,0.000464476,0.000464476
122,801.856,0.41177,0.29666,0.21727,0.00357,0.09595,0.96141,0.9809,0.98819,0.96565,0.96141,0.9809,0.98819,0.88542,0.24605,0.20197,0.12828,0.0038,0,0.000461938,0.000461938,0.000461938
123,808.368,0.3987,0.36361,0.24805,0.00334,0.16742,0.96602,0.97595,0.99003,0.9648,0.96602,0.97595,0.99003,0.88278,0.26472,0.19614,0.13523,0.00408,0,0.000459401,0.000459401,0.000459401
124,814.859,0.4207,0.36178,0.26989,0.00424,0.22295,0.96862,0.97108,0.98827,0.96903,0.96862,0.97108,0.98827,0.87493,0.25328,0.21028,0.13818,0.00376,0,0.000456863,0.000456863,0.000456863
125,821.305,0.38944,0.29963,0.22021,0.00363,0.16356,0.9766,0.97574,0.98824,0.97276,0.9766,0.97574,0.98824,0.87625,0.21846,0.21503,0.12591,0.00311,0,0.000454325,0.000454325,0.000454325
126,827.974,0.36818,0.2434,0.23004,0.00329,0.15828,0.97445,0.96733,0.98962,0.96956,0.97445,0.96733,0.98962,0.8807,0.27253,0.2007,0.13985,0.00378,0,0.000451787,0.000451787,0.000451787
127,834.844,0.37309,0.24165,0.19838,0.00366,0.12021,0.99266,0.95729,0.9886,0.97227,0.99266,0.95729,0.9886,0.87917,0.2535,0.20421,0.14832,0.00376,0,0.00044925,0.00044925,0.00044925
128,841.719,0.37028,0.26276,0.19161,0.00348,0.21503,0.96198,0.95717,0.98499,0.96653,0.96198,0.95717,0.98499,0.86911,0.27493,0.20335,0.16685,0.00415,0,0.000446712,0.000446712,0.000446712
129,848.39,0.41015,0.25529,0.23492,0.00383,0.15447,0.96697,0.96389,0.98398,0.96561,0.96697,0.96389,0.98398,0.86619,0.27239,0.20217,0.16731,0.00423,0,0.000444174,0.000444174,0.000444174
130,855.022,0.37319,0.24284,0.19709,0.00293,0.10792,0.97261,0.97381,0.98318,0.96594,0.97261,0.97381,0.98318,0.87637,0.23899,0.21852,0.15116,0.00319,0,0.000441637,0.000441637,0.000441637
131,861.499,0.36683,0.27541,0.1943,0.00363,0.1358,0.98446,0.96926,0.98376,0.97204,0.98446,0.96926,0.98376,0.86083,0.23081,0.2137,0.13812,0.00312,0,0.000439099,0.000439099,0.000439099
132,867.974,0.36573,0.25631,0.20315,0.00332,0.14936,0.98415,0.96604,0.9834,0.97004,0.98415,0.96604,0.9834,0.86665,0.22885,0.20532,0.1448,0.00309,0,0.000436561,0.000436561,0.000436561
133,874.385,0.37607,0.24824,0.20968,0.00281,0.19642,0.98606,0.96566,0.98551,0.97444,0.98606,0.96566,0.98551,0.87047,0.22496,0.20526,0.14955,0.00321,0,0.000434024,0.000434024,0.000434024
134,880.877,0.35229,0.28957,0.20802,0.00316,0.16432,0.97549,0.95362,0.98597,0.96957,0.97549,0.95362,0.98597,0.88769,0.25377,0.20002,0.14329,0.00375,0,0.000431486,0.000431486,0.000431486
135,887.379,0.36742,0.23833,0.22239,0.00308,0.16452,0.95225,0.98522,0.98684,0.96711,0.95225,0.98522,0.98684,0.87495,0.26188,0.20377,0.15126,0.00376,0,0.000428948,0.000428948,0.000428948
136,893.784,0.35765,0.2605,0.18019,0.00355,0.12366,0.96551,0.98073,0.98885,0.96738,0.96551,0.98073,0.98885,0.8598,0.24418,0.21517,0.14484,0.00324,0,0.000426411,0.000426411,0.000426411
137,900.175,0.34644,0.22774,0.18696,0.00329,0.12078,0.96923,0.97732,0.98964,0.97216,0.96923,0.97732,0.98964,0.8725,0.22449,0.22188,0.13069,0.0029,0,0.000423873,0.000423873,0.000423873
138,906.67,0.37534,0.2936,0.203,0.00323,0.11992,0.9654,0.9685,0.99091,0.9798,0.9654,0.9685,0.99091,0.87841,0.225,0.20155,0.13454,0.00311,0,0.000421335,0.000421335,0.000421335
139,913.285,0.36548,0.24265,0.19517,0.00347,0.1425,0.96226,0.97441,0.9905,0.97962,0.96226,0.97441,0.9905,0.8756,0.21618,0.20317,0.13805,0.00308,0,0.000418797,0.000418797,0.000418797
140,919.69,0.3433,0.23112,0.17523,0.0029,0.11777,0.96922,0.98036,0.99181,0.97671,0.96922,0.98036,0.99181,0.88162,0.22706,0.20683,0.12482,0.00345,0,0.00041626,0.00041626,0.00041626
141,926.237,0.38163,0.30375,0.20185,0.00374,0.15009,0.96414,0.98517,0.99188,0.97886,0.96414,0.98517,0.99188,0.87997,0.23944,0.20816,0.13125,0.00348,0,0.000413722,0.000413722,0.000413722
142,932.897,0.34728,0.26055,0.20863,0.00316,0.13224,0.96912,0.96251,0.98844,0.9742,0.96912,0.96251,0.98844,0.87977,0.24621,0.20395,0.14196,0.00343,0,0.000411184,0.000411184,0.000411184
143,939.294,0.4111,0.3309,0.22003,0.00354,0.15898,0.97786,0.96861,0.98605,0.97381,0.97786,0.96861,0.98605,0.87768,0.23439,0.20555,0.13554,0.00319,0,0.000408647,0.000408647,0.000408647
144,945.72,0.36844,0.32645,0.19407,0.00308,0.14114,0.97232,0.98451,0.99059,0.9748,0.97232,0.98451,0.99059,0.87328,0.25385,0.20747,0.11913,0.00325,0,0.000406109,0.000406109,0.000406109
145,952.083,0.38351,0.30486,0.20498,0.00285,0.11614,0.96871,0.98574,0.99001,0.96452,0.96871,0.98574,0.99001,0.85884,0.29694,0.21777,0.13886,0.00381,0,0.000403571,0.000403571,0.000403571
146,958.488,0.36398,0.30139,0.19294,0.00332,0.1259,0.9807,0.96021,0.98659,0.97195,0.9807,0.96021,0.98659,0.87747,0.23251,0.23048,0.13777,0.00339,0,0.000401033,0.000401033,0.000401033
147,965.159,0.3669,0.23961,0.19543,0.00286,0.11539,0.96925,0.98518,0.9862,0.97371,0.96925,0.98518,0.9862,0.88,0.22428,0.22638,0.12668,0.00326,0,0.000398496,0.000398496,0.000398496
148,971.747,0.34563,0.3145,0.21552,0.00333,0.13674,0.97063,0.96568,0.98188,0.96774,0.97063,0.96568,0.98188,0.86949,0.22047,0.22244,0.14977,0.00318,0,0.000395958,0.000395958,0.000395958
149,978.372,0.34842,0.3344,0.20394,0.00314,0.11128,0.9623,0.9794,0.98148,0.96876,0.9623,0.9794,0.98148,0.87253,0.23171,0.21938,0.14316,0.00319,0,0.00039342,0.00039342,0.00039342
150,985.003,0.34314,0.25327,0.16929,0.00268,0.12327,0.97301,0.95991,0.98089,0.97237,0.97301,0.95991,0.98089,0.87039,0.21647,0.22193,0.15425,0.00326,0,0.000390883,0.000390883,0.000390883
151,991.544,0.34827,0.28323,0.19743,0.0031,0.1396,0.97146,0.97102,0.98241,0.97578,0.97146,0.97102,0.98241,0.87019,0.23044,0.21749,0.1555,0.00316,0,0.000388345,0.000388345,0.000388345
152,997.997,0.34169,0.24445,0.19758,0.00313,0.15975,0.97677,0.97099,0.98507,0.9789,0.97677,0.97099,0.98507,0.873,0.20831,0.21687,0.14617,0.0028,0,0.000385807,0.000385807,0.000385807
153,1004.5,0.35806,0.27419,0.20455,0.00291,0.11698,0.98203,0.9759,0.98651,0.98116,0.98203,0.9759,0.98651,0.87611,0.20391,0.22194,0.13652,0.00282,0,0.00038327,0.00038327,0.00038327
154,1011.3,0.37102,0.23868,0.19511,0.00372,0.17739,0.98021,0.96437,0.98626,0.97702,0.98021,0.96437,0.98626,0.86956,0.20428,0.24061,0.14057,0.00297,0,0.000380732,0.000380732,0.000380732
155,1018.06,0.35529,0.25755,0.2081,0.0029,0.12602,0.97416,0.96738,0.9874,0.9766,0.97416,0.96738,0.9874,0.87324,0.23719,0.24645,0.16152,0.00332,0,0.000378194,0.000378194,0.000378194
156,1024.82,0.34075,0.24271,0.20617,0.00333,0.16102,0.97088,0.96923,0.98593,0.9708,0.97088,0.96923,0.98593,0.86906,0.23315,0.24654,0.17516,0.00339,0,0.000375656,0.000375656,0.000375656
157,1031.55,0.33015,0.35491,0.20372,0.00288,0.20156,0.96924,0.97865,0.98679,0.97414,0.96924,0.97865,0.98679,0.87175,0.20896,0.24993,0.14703,0.00303,0,0.000373119,0.000373119,0.000373119
158,1038.37,0.38516,0.25941,0.20817,0.00338,0.17056,0.92648,0.96569,0.97364,0.95817,0.92648,0.96569,0.97364,0.86471,0.22869,0.24656,0.17218,0.00307,0,0.000370581,0.000370581,0.000370581
159,1045.08,0.33195,0.30162,0.18037,0.00295,0.13528,0.97856,0.93421,0.97209,0.95842,0.97856,0.93421,0.97209,0.86155,0.23327,0.25176,0.18332,0.00314,0,0.000368043,0.000368043,0.000368043
160,1051.84,0.3718,0.24789,0.20694,0.00349,0.19544,0.95565,0.94099,0.97305,0.95863,0.95565,0.94099,0.97305,0.86958,0.25212,0.25273,0.18125,0.00342,0,0.000365506,0.000365506,0.000365506
161,1058.68,0.30927,0.24062,0.17141,0.00274,0.10016,0.92869,0.96506,0.97792,0.96179,0.92869,0.96506,0.97792,0.86702,0.24782,0.25248,0.17605,0.00348,0,0.000362968,0.000362968,0.000362968
162,1065.53,0.36385,0.30653,0.18687,0.00322,0.12621,0.95677,0.97707,0.98072,0.9652,0.95677,0.97707,0.98072,0.86958,0.23359,0.23862,0.16516,0.00321,0,0.00036043,0.00036043,0.00036043
163,1072.3,0.34662,0.24506,0.18547,0.00312,0.15449,0.97424,0.96985,0.98142,0.97006,0.97424,0.96985,0.98142,0.87912,0.24338,0.23541,0.15621,0.00302,0,0.000357893,0.000357893,0.000357893
164,1079.04,0.32845,0.2886,0.17692,0.00297,0.15004,0.97585,0.96659,0.98159,0.96957,0.97585,0.96659,0.9809,0.88304,0.22556,0.23455,0.14726,0.00302,0,0.000355355,0.000355355,0.000355355
165,1085.74,0.32635,0.23618,0.19184,0.00293,0.12147,0.97519,0.97537,0.98068,0.96732,0.97519,0.97537,0.98068,0.86634,0.2251,0.23322,0.14889,0.0032,0,0.000352817,0.000352817,0.000352817
166,1092.48,0.34932,0.2487,0.18153,0.00292,0.10889,0.97333,0.981,0.98051,0.96441,0.97333,0.981,0.98051,0.86861,0.24482,0.23694,0.14755,0.00328,0,0.00035028,0.00035028,0.00035028
167,1099.14,0.34823,0.27436,0.19216,0.00323,0.13436,0.96795,0.97855,0.98103,0.97216,0.96795,0.97855,0.98103,0.87457,0.21437,0.23465,0.14103,0.00284,0,0.000347742,0.000347742,0.000347742
168,1105.81,0.32648,0.25457,0.17619,0.00304,0.15302,0.97089,0.9639,0.97955,0.96922,0.97089,0.9639,0.97955,0.87167,0.21761,0.23226,0.15043,0.00292,0,0.000345204,0.000345204,0.000345204
169,1112.47,0.31926,0.20278,0.17122,0.00289,0.11548,0.96734,0.96844,0.97915,0.96674,0.96734,0.96844,0.97915,0.86973,0.23614,0.22556,0.14581,0.00294,0,0.000342666,0.000342666,0.000342666
170,1119.24,0.32767,0.22823,0.18089,0.00278,0.15635,0.97877,0.95947,0.98287,0.97254,0.97877,0.95947,0.98287,0.86612,0.21633,0.2259,0.12645,0.00308,0,0.000340129,0.000340129,0.000340129
171,1125.77,0.34059,0.27373,0.1936,0.00332,0.1211,0.96851,0.97906,0.98381,0.97332,0.96851,0.97906,0.98381,0.8684,0.23327,0.22217,0.13576,0.0033,0,0.000337591,0.000337591,0.000337591
172,1132.44,0.36135,0.2987,0.208,0.00334,0.12807,0.95558,0.98763,0.98478,0.96929,0.95558,0.98763,0.98478,0.87663,0.23815,0.22015,0.12643,0.00351,0,0.000335053,0.000335053,0.000335053
173,1139.09,0.3111,0.21211,0.17327,0.00308,0.10328,0.96473,0.98143,0.98707,0.96936,0.96473,0.98143,0.98707,0.88371,0.2316,0.21627,0.12908,0.00356,0,0.000332516,0.000332516,0.000332516
174,1145.75,0.32763,0.33089,0.16715,0.00295,0.11775,0.97801,0.96631,0.98497,0.97304,0.97801,0.96631,0.98497,0.8634,0.21817,0.21881,0.14289,0.00324,0,0.000329978,0.000329978,0.000329978
175,1152.39,0.324,0.26137,0.16319,0.00274,0.10756,0.97787,0.96159,0.98447,0.97328,0.97787,0.96159,0.98447,0.87035,0.20014,0.21812,0.13721,0.0029,0,0.00032744,0.00032744,0.00032744
176,1159.03,0.32956,0.22587,0.1569,0.00276,0.09769,0.97457,0.96773,0.98114,0.96836,0.97457,0.96773,0.98114,0.87346,0.22126,0.21746,0.1312,0.00338,0,0.000324903,0.000324903,0.000324903
177,1165.74,0.32169,0.33678,0.21151,0.00282,0.13623,0.9715,0.97127,0.98203,0.96787,0.9715,0.97127,0.98203,0.87101,0.2204,0.22101,0.13614,0.00355,0,0.000322365,0.000322365,0.000322365
178,1172.51,0.30718,0.2717,0.18549,0.00247,0.10904,0.96365,0.96281,0.98465,0.97386,0.96365,0.96281,0.98465,0.87449,0.20828,0.22524,0.14463,0.00308,0,0.000319827,0.000319827,0.000319827
179,1179.13,0.31357,0.20373,0.30617,0.00301,0.22491,0.97503,0.9629,0.98538,0.97776,0.97503,0.9629,0.98538,0.87826,0.19191,0.22827,0.13371,0.00275,0,0.000317289,0.000317289,0.000317289
180,1185.65,0.31106,0.19397,0.16903,0.00241,0.10145,0.9649,0.96916,0.98626,0.98103,0.9649,0.96916,0.98626,0.88317,0.18667,0.23051,0.15186,0.00247,0,0.000314752,0.000314752,0.000314752
181,1192.38,0.30802,0.26431,0.18109,0.00257,0.11641,0.97754,0.97621,0.98455,0.97995,0.97754,0.97621,0.98455,0.87168,0.18824,0.23848,0.11221,0.00256,0,0.000312214,0.000312214,0.000312214
182,1199.21,0.31353,0.25503,0.19547,0.00283,0.13032,0.97363,0.96106,0.98362,0.97634,0.97363,0.96106,0.98362,0.85899,0.20593,0.24641,0.1238,0.00264,0,0.000309676,0.000309676,0.000309676
183,1205.83,0.34056,0.32797,0.17935,0.00299,0.11243,0.95739,0.98452,0.98459,0.97159,0.95739,0.98452,0.98459,0.87939,0.2083,0.24304,0.12155,0.00291,0,0.000307139,0.000307139,0.000307139
184,1212.53,0.33276,0.35911,0.16571,0.0032,0.1301,0.97845,0.96384,0.98472,0.96941,0.97845,0.96384,0.98472,0.89522,0.22179,0.2361,0.12733,0.00318,0,0.000304601,0.000304601,0.000304601
185,1219.29,0.33253,0.24526,0.17038,0.00281,0.11785,0.97245,0.97105,0.98536,0.96864,0.97245,0.97105,0.98536,0.89319,0.24202,0.22642,0.13386,0.00332,0,0.000302063,0.000302063,0.000302063
186,1226.05,0.31733,0.22762,0.17507,0.0027,0.09543,0.97684,0.96731,0.98514,0.97688,0.97684,0.96731,0.98514,0.87395,0.20433,0.22624,0.1254,0.00283,0,0.000299525,0.000299525,0.000299525
187,1232.63,0.31794,0.23388,0.16462,0.00282,0.10297,0.98138,0.96134,0.98596,0.97775,0.98138,0.96134,0.98596,0.8769,0.20019,0.2328,0.13033,0.00266,0,0.000296988,0.000296988,0.000296988
188,1239.23,0.31735,0.26306,0.15914,0.00274,0.12866,0.96864,0.973,0.98561,0.97756,0.96864,0.973,0.98561,0.88063,0.20423,0.22718,0.12838,0.00261,0,0.00029445,0.00029445,0.00029445
189,1246.89,0.31722,0.27288,0.17235,0.00283,0.09325,0.97804,0.96617,0.98561,0.97733,0.97804,0.96617,0.98561,0.88451,0.19145,0.21629,0.12806,0.00246,0,0.000291912,0.000291912,0.000291912
190,1255.39,0.32266,0.26223,0.17848,0.00288,0.14977,0.96605,0.96762,0.98335,0.97125,0.96605,0.96762,0.98335,0.88349,0.21165,0.21932,0.16595,0.00295,0,0.000289375,0.000289375,0.000289375
191,1263.33,0.32401,0.25267,0.163,0.00291,0.1155,0.95007,0.96998,0.98343,0.97207,0.95007,0.96998,0.98343,0.87807,0.20664,0.2231,0.16468,0.00278,0,0.000286837,0.000286837,0.000286837
192,1270.37,0.31708,0.252,0.16352,0.00304,0.15008,0.95081,0.97766,0.98715,0.97888,0.95081,0.97766,0.98715,0.87721,0.1935,0.22042,0.1478,0.00251,0,0.000284299,0.000284299,0.000284299
193,1279.31,0.30359,0.27966,0.17752,0.00276,0.11947,0.95928,0.98881,0.98798,0.97669,0.95928,0.98881,0.98798,0.88806,0.19827,0.22246,0.14582,0.00261,0,0.000281762,0.000281762,0.000281762
194,1287.37,0.28758,0.21748,0.16376,0.00228,0.10503,0.97937,0.97249,0.98711,0.97759,0.97937,0.97249,0.98711,0.8744,0.20722,0.21998,0.13749,0.00275,0,0.000279224,0.000279224,0.000279224
195,1295.18,0.32052,0.24783,0.15931,0.00278,0.10873,0.97813,0.96657,0.98544,0.97831,0.97813,0.96657,0.98544,0.87207,0.21085,0.21789,0.13798,0.00275,0,0.000276686,0.000276686,0.000276686
196,1303.17,0.29865,0.2941,0.16428,0.00283,0.11664,0.98152,0.95451,0.9868,0.97829,0.98152,0.95451,0.9868,0.88022,0.19162,0.21449,0.13805,0.00249,0,0.000274148,0.000274148,0.000274148
197,1311.38,0.30862,0.29705,0.19546,0.00259,0.12736,0.97672,0.96677,0.98696,0.97869,0.97672,0.96677,0.98696,0.89103,0.20176,0.21166,0.13507,0.0026,0,0.000271611,0.000271611,0.000271611
198,1320.23,0.31145,0.23698,0.16683,0.00281,0.11656,0.95743,0.96205,0.98581,0.97592,0.95743,0.96205,0.98512,0.87892,0.1923,0.21036,0.13471,0.00265,0,0.000269073,0.000269073,0.000269073
199,1329.27,0.30608,0.26159,0.17042,0.00266,0.09726,0.96982,0.96123,0.98807,0.97759,0.96982,0.96123,0.98738,0.87702,0.20248,0.20723,0.13617,0.0027,0,0.000266535,0.000266535,0.000266535
200,1337.18,0.32593,0.23923,0.17074,0.00274,0.09376,0.9757,0.95151,0.98821,0.97659,0.9757,0.95151,0.98821,0.88209,0.19459,0.20279,0.13687,0.00278,0,0.000263998,0.000263998,0.000263998
201,1345.57,0.28042,0.24683,0.14733,0.00275,0.08713,0.97632,0.96394,0.98718,0.97772,0.97632,0.96394,0.98718,0.89087,0.19419,0.20061,0.13195,0.0027,0,0.00026146,0.00026146,0.00026146
202,1353.49,0.36572,0.27724,0.20857,0.00327,0.16612,0.96154,0.98318,0.98683,0.97721,0.96154,0.98318,0.98683,0.883,0.18856,0.20338,0.13751,0.00258,0,0.000258922,0.000258922,0.000258922
203,1361.2,0.31313,0.28036,0.17272,0.00282,0.11367,0.97327,0.94732,0.9882,0.97966,0.97327,0.94732,0.9882,0.87907,0.19987,0.20603,0.15553,0.00268,0,0.000256385,0.000256385,0.000256385
204,1368.9,0.30483,0.21606,0.16525,0.00258,0.09447,0.95963,0.9669,0.98649,0.9759,0.95963,0.9669,0.98649,0.88293,0.20258,0.20939,0.1557,0.00281,0,0.000253847,0.000253847,0.000253847
205,1376.61,0.27903,0.21597,0.14117,0.00245,0.06825,0.97554,0.95625,0.98585,0.97271,0.97554,0.95625,0.98585,0.88668,0.19681,0.21131,0.15095,0.00268,0,0.000251309,0.000251309,0.000251309
206,1384.4,0.29635,0.19575,0.147,0.00254,0.08167,0.95947,0.9676,0.9863,0.97337,0.95947,0.9676,0.9863,0.88542,0.1991,0.21351,0.14399,0.00296,0,0.000248772,0.000248772,0.000248772
207,1391.17,0.27606,0.18267,0.13949,0.00231,0.08629,0.95853,0.97165,0.98533,0.97427,0.9562,0.96648,0.98464,0.88281,0.19516,0.21407,0.13601,0.00299,0,0.000246234,0.000246234,0.000246234
208,1397.9,0.3022,0.21642,0.14478,0.0029,0.11497,0.95403,0.97678,0.98585,0.97574,0.95379,0.96717,0.98486,0.88597,0.19177,0.21339,0.13697,0.00291,0,0.000243696,0.000243696,0.000243696
209,1404.67,0.29847,0.26763,0.15434,0.00271,0.09127,0.9531,0.96682,0.98548,0.97564,0.95641,0.96062,0.98515,0.8819,0.19268,0.21858,0.13689,0.00284,0,0.000241158,0.000241158,0.000241158
210,1411.52,0.30225,0.20012,0.15094,0.00261,0.09201,0.96754,0.96059,0.98686,0.97376,0.96635,0.95574,0.98616,0.88112,0.19997,0.22868,0.14597,0.00287,0,0.000238621,0.000238621,0.000238621
211,1418.27,0.31367,0.24622,0.16311,0.00287,0.10414,0.97211,0.95834,0.98461,0.96775,0.96486,0.95093,0.9835,0.8731,0.21242,0.23208,0.15392,0.00343,0,0.000236083,0.000236083,0.000236083
212,1425.2,0.30234,0.20909,0.12731,0.00269,0.08587,0.97931,0.94478,0.98641,0.97109,0.97931,0.94478,0.98572,0.8726,0.22084,0.23326,0.15948,0.00375,0,0.000233545,0.000233545,0.000233545
213,1431.98,0.29474,0.19955,0.14844,0.00261,0.14138,0.96233,0.9671,0.98903,0.97447,0.96162,0.96122,0.98833,0.87418,0.21157,0.23528,0.1422,0.00344,0,0.000231008,0.000231008,0.000231008
214,1438.66,0.29586,0.24297,0.14008,0.00247,0.09536,0.96361,0.9623,0.98662,0.9776,0.96361,0.9623,0.98662,0.89148,0.20777,0.22748,0.14771,0.0028,0,0.00022847,0.00022847,0.00022847
215,1445.37,0.29775,0.22376,0.14676,0.00277,0.08847,0.97181,0.9587,0.98572,0.97634,0.97181,0.9587,0.98572,0.88769,0.19892,0.22038,0.14512,0.0026,0,0.000225932,0.000225932,0.000225932
216,1452.86,0.31745,0.21283,0.188,0.00278,0.13015,0.9558,0.96978,0.98576,0.97641,0.9558,0.96978,0.98576,0.88126,0.19183,0.21714,0.14052,0.00268,0,0.000223395,0.000223395,0.000223395
217,1459.54,0.29508,0.24862,0.15918,0.00276,0.12151,0.97585,0.95212,0.98581,0.97523,0.97585,0.95212,0.98581,0.87583,0.19672,0.21358,0.13662,0.00301,0,0.000220857,0.000220857,0.000220857
218,1466.24,0.2957,0.28274,0.15048,0.00241,0.09664,0.96682,0.95843,0.98405,0.97356,0.96682,0.95843,0.98405,0.8808,0.18107,0.20441,0.13723,0.00279,0,0.000218319,0.000218319,0.000218319
219,1472.86,0.28953,0.22797,0.14277,0.0027,0.10803,0.95123,0.97797,0.98402,0.9747,0.95123,0.97797,0.98402,0.88189,0.19055,0.20396,0.12291,0.0027,0,0.000215781,0.000215781,0.000215781
220,1479.54,0.28402,0.21137,0.15444,0.0026,0.09658,0.95904,0.96717,0.98402,0.97136,0.95904,0.96717,0.98402,0.87854,0.19106,0.20324,0.13436,0.00276,0,0.000213244,0.000213244,0.000213244
221,1486,0.29106,0.22017,0.13897,0.00229,0.11256,0.94949,0.98003,0.98418,0.97024,0.94949,0.98003,0.98418,0.88351,0.19665,0.20324,0.13548,0.00288,0,0.000210706,0.000210706,0.000210706
222,1492.52,0.28326,0.24009,0.14519,0.00243,0.11059,0.96557,0.9611,0.98359,0.97526,0.96557,0.9611,0.98359,0.88924,0.1869,0.20515,0.1441,0.00262,0,0.000208168,0.000208168,0.000208168
223,1499.03,0.27346,0.23638,0.12305,0.00229,0.07587,0.95632,0.96943,0.98256,0.97391,0.95632,0.96943,0.98256,0.88176,0.19215,0.20789,0.134,0.00277,0,0.000205631,0.000205631,0.000205631
224,1505.54,0.30164,0.21722,0.15845,0.00269,0.08741,0.96938,0.96614,0.98297,0.97548,0.96938,0.96614,0.98297,0.87071,0.20309,0.20789,0.13983,0.00276,0,0.000203093,0.000203093,0.000203093
225,1512.1,0.34775,0.24482,0.19875,0.00294,0.13884,0.96623,0.9648,0.98125,0.97646,0.96623,0.9648,0.98125,0.86165,0.21585,0.2106,0.15109,0.00268,0,0.000200555,0.000200555,0.000200555
226,1518.82,0.28508,0.2618,0.13966,0.0022,0.10182,0.97165,0.95692,0.98117,0.97545,0.97165,0.95692,0.98117,0.87137,0.17992,0.21429,0.14565,0.0024,0,0.000198018,0.000198018,0.000198018
227,1525.57,0.27803,0.23322,0.13803,0.00225,0.09223,0.96783,0.96765,0.98274,0.97476,0.96783,0.96765,0.98274,0.88551,0.18645,0.21461,0.14262,0.00239,0,0.00019548,0.00019548,0.00019548
228,1532.33,0.28154,0.23042,0.13804,0.00234,0.08265,0.96572,0.96243,0.98274,0.97383,0.96572,0.96243,0.98274,0.89064,0.20513,0.21524,0.14497,0.00261,0,0.000192942,0.000192942,0.000192942
229,1538.96,0.27281,0.20968,0.13838,0.00227,0.12451,0.97077,0.96975,0.98314,0.977,0.97077,0.96975,0.98314,0.88846,0.20022,0.21311,0.1415,0.00271,0,0.000190404,0.000190404,0.000190404
230,1545.73,0.26074,0.18208,0.1393,0.00212,0.0779,0.96585,0.965,0.9847,0.979,0.96585,0.965,0.9847,0.87531,0.19014,0.20824,0.13606,0.00263,0,0.000187867,0.000187867,0.000187867
231,1552.43,0.29205,0.24655,0.14926,0.00229,0.09479,0.9633,0.97003,0.9847,0.98042,0.9633,0.97003,0.9847,0.876,0.19138,0.20834,0.13134,0.00259,0,0.000185329,0.000185329,0.000185329
232,1559.13,0.28612,0.26709,0.1527,0.00265,0.12608,0.96991,0.96157,0.98351,0.97866,0.96991,0.96157,0.98351,0.8807,0.18041,0.21002,0.13172,0.00244,0,0.000182791,0.000182791,0.000182791
233,1565.81,0.2849,0.43256,0.15437,0.00235,0.11442,0.97502,0.96013,0.98451,0.97969,0.97502,0.96013,0.98451,0.88783,0.17707,0.21171,0.12016,0.00236,0,0.000180254,0.000180254,0.000180254
234,1572.47,0.29702,0.23821,0.14158,0.0026,0.09944,0.96269,0.97652,0.98522,0.97937,0.96269,0.97652,0.98522,0.88628,0.17741,0.21203,0.12466,0.00248,0,0.000177716,0.000177716,0.000177716
235,1579.16,0.28434,0.19306,0.14969,0.00229,0.08684,0.96466,0.96208,0.98369,0.9798,0.96466,0.96208,0.98369,0.874,0.17871,0.21437,0.12879,0.00241,0,0.000175178,0.000175178,0.000175178
236,1585.76,0.26764,0.20638,0.13125,0.00207,0.08864,0.96825,0.96335,0.98287,0.9791,0.96825,0.96335,0.98287,0.87184,0.19341,0.21882,0.13548,0.00251,0,0.000172641,0.000172641,0.000172641
237,1592.35,0.26832,0.22425,0.13387,0.00231,0.102,0.98099,0.96383,0.98287,0.97467,0.98099,0.96383,0.98287,0.87108,0.20322,0.22152,0.13857,0.00276,0,0.000170103,0.000170103,0.000170103
238,1599.07,0.29128,0.2392,0.15091,0.00256,0.11943,0.98207,0.96578,0.98381,0.97299,0.98207,0.96578,0.98381,0.87359,0.18297,0.22177,0.12904,0.00264,0,0.000167565,0.000167565,0.000167565
239,1605.71,0.26331,0.25501,0.1395,0.00221,0.08668,0.97006,0.98148,0.98381,0.97563,0.97006,0.98148,0.98381,0.87851,0.19489,0.22145,0.12445,0.00254,0,0.000165027,0.000165027,0.000165027
