epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,193.237,0.5933,0.4186,0.57221,0.0058,0.80633,0.93729,0.88795,0.94426,0.87321,0.93729,0.88795,0.94426,0.79525,0.44696,0.29265,0.31873,0.00607,0,0.000700482,0.000700482,0.000700482
29,199.701,0.59134,0.38585,0.52548,0.00563,0.67871,0.89767,0.92035,0.94894,0.87992,0.89767,0.92035,0.94894,0.82173,0.44398,0.28568,0.32377,0.00583,0,0.000697944,0.000697944,0.000697944
30,206.156,0.5573,0.46265,0.48192,0.00547,0.69405,0.90008,0.92452,0.96016,0.89919,0.90008,0.92452,0.96016,0.82031,0.41096,0.31467,0.34067,0.00627,0,0.000695407,0.000695407,0.000695407
31,212.599,0.57952,0.39126,0.47158,0.00478,0.57797,0.90366,0.92549,0.95524,0.86253,0.90366,0.92549,0.95524,0.7777,0.49401,0.37925,0.40658,0.00662,0,0.000692869,0.000692869,0.000692869
32,219.033,0.61869,0.51772,0.50726,0.00559,0.62265,0.90061,0.9395,0.96869,0.89433,0.90061,0.9395,0.96869,0.81233,0.44904,0.36898,0.37516,0.0068,0,0.000690331,0.000690331,0.000690331
33,225.285,0.5897,0.4696,0.45649,0.00529,0.5522,0.92607,0.95848,0.97205,0.90752,0.92607,0.95848,0.97205,0.84412,0.41462,0.32731,0.3584,0.00594,0,0.000687794,0.000687794,0.000687794
34,231.901,0.60322,0.39515,0.45747,0.00553,0.55525,0.92716,0.92937,0.96116,0.89171,0.92716,0.92937,0.96116,0.83669,0.42453,0.30975,0.32503,0.00604,0,0.000685256,0.000685256,0.000685256
35,238.333,0.56656,0.5573,0.42135,0.00494,0.42338,0.9009,0.93247,0.95822,0.90382,0.9009,0.93247,0.95822,0.83596,0.38979,0.29624,0.28746,0.005,0,0.000682718,0.000682718,0.000682718
36,244.762,0.59307,0.34847,0.43056,0.00552,0.48368,0.89066,0.96749,0.97974,0.90312,0.89066,0.96749,0.97974,0.81998,0.45184,0.28267,0.29737,0.00606,0,0.000680181,0.000680181,0.000680181
37,251.119,0.56723,0.33002,0.4591,0.00501,0.44558,0.94611,0.95316,0.98423,0.93971,0.94611,0.95316,0.98423,0.85046,0.36182,0.27818,0.23799,0.00507,0,0.000677643,0.000677643,0.000677643
38,257.723,0.61393,0.41815,0.44262,0.00623,0.48275,0.94715,0.96679,0.97577,0.92114,0.94715,0.96679,0.97577,0.86232,0.40177,0.26748,0.2528,0.00566,0,0.000675105,0.000675105,0.000675105
39,263.972,0.54011,0.44621,0.39214,0.00508,0.33388,0.94193,0.96035,0.9722,0.92134,0.94193,0.96035,0.9722,0.84206,0.37286,0.26842,0.26024,0.00541,0,0.000672567,0.000672567,0.000672567
40,270.155,0.55672,0.44833,0.39403,0.00501,0.32111,0.95154,0.91303,0.9774,0.89801,0.95154,0.91303,0.9774,0.86685,0.4633,0.2442,0.27327,0.00786,0,0.00067003,0.00067003,0.00067003
41,276.425,0.55788,0.3843,0.41264,0.00548,0.39304,0.9459,0.9334,0.98648,0.92402,0.9459,0.9334,0.98648,0.8764,0.37807,0.24715,0.2453,0.0068,0,0.000667492,0.000667492,0.000667492
42,282.825,0.52517,0.36125,0.38905,0.00516,0.42463,0.95758,0.93698,0.98797,0.93604,0.95758,0.93698,0.98797,0.86922,0.39609,0.27804,0.21741,0.00644,0,0.000664954,0.000664954,0.000664954
43,289.31,0.56723,0.36682,0.40305,0.00665,0.43741,0.94222,0.96274,0.98292,0.93955,0.94222,0.96274,0.98292,0.85727,0.35333,0.27733,0.23155,0.00612,0,0.000662417,0.000662417,0.000662417
44,295.758,0.49851,0.44794,0.36758,0.00467,0.34599,0.95053,0.97273,0.9827,0.93502,0.95053,0.97273,0.9827,0.84845,0.37827,0.28284,0.21068,0.00575,0,0.000659879,0.000659879,0.000659879
45,302.209,0.58965,0.38648,0.46749,0.00574,0.47519,0.9525,0.94764,0.97778,0.9279,0.9525,0.94764,0.97778,0.84485,0.36925,0.27228,0.22047,0.00553,0,0.000657341,0.000657341,0.000657341
46,308.938,0.52621,0.46939,0.41597,0.00525,0.41315,0.94052,0.93979,0.96761,0.92333,0.94052,0.93979,0.96761,0.86967,0.35325,0.25846,0.22624,0.00519,0,0.000654804,0.000654804,0.000654804
47,315.432,0.49202,0.33763,0.38141,0.00471,0.31172,0.9523,0.93716,0.98198,0.95385,0.9523,0.93716,0.98198,0.84885,0.30519,0.27576,0.20274,0.00478,0,0.000652266,0.000652266,0.000652266
48,321.964,0.52893,0.39699,0.46862,0.00559,0.39519,0.95062,0.94178,0.98133,0.9333,0.95062,0.94178,0.98133,0.86119,0.36923,0.28685,0.2262,0.00584,0,0.000649728,0.000649728,0.000649728
49,328.588,0.50851,0.46042,0.34634,0.00485,0.32647,0.95666,0.91547,0.97505,0.92355,0.95666,0.91547,0.97455,0.85607,0.38519,0.28385,0.27252,0.00688,0,0.00064719,0.00064719,0.00064719
50,335.057,0.55648,0.41368,0.38343,0.00574,0.28317,0.9432,0.97053,0.98306,0.93358,0.9432,0.97053,0.98306,0.84667,0.37202,0.25131,0.23154,0.00504,0,0.000644653,0.000644653,0.000644653
51,341.484,0.48813,0.36181,0.35074,0.00487,0.287,0.94837,0.95728,0.97847,0.94622,0.94837,0.95728,0.97847,0.85296,0.33765,0.24697,0.20621,0.00474,0,0.000642115,0.000642115,0.000642115
52,348.099,0.47816,0.36414,0.3398,0.00411,0.25916,0.91579,0.94795,0.96744,0.92472,0.91579,0.94795,0.96744,0.87024,0.37705,0.25896,0.2587,0.00532,0,0.000639577,0.000639577,0.000639577
53,354.623,0.5261,0.35999,0.33928,0.00518,0.31129,0.91007,0.94894,0.96325,0.91341,0.91007,0.94894,0.96325,0.8589,0.39299,0.26021,0.2519,0.00603,0,0.00063704,0.00063704,0.00063704
